Year,Country,Disaster Subroup,Disaster Type,Total Events,Total Affected,Total Deaths,"Total Damage (USD, adjusted)"
#date +occurred,#country +name,#cause +subgroup,#cause +type,#frequency,#affected +ind,#affected +ind +killed,#value +usd
2003,United States of America,Meteorological,Storm,4,1297,27,4375216061
2003,United States of America,Meteorological,Storm,4,17226,51,15750777818
2003,United States of America,Meteorological,Storm,2,225004,20,5985295571
2004,United States of America,Climatological,Wildfire,3,15487,,
2004,United States of America,Hydrological,Flood,4,5340,1,861601573
2004,United States of America,Meteorological,Extreme temperature,1,,3,
2004,United States of America,Meteorological,Storm,1,,56,102267249
2004,United States of America,Meteorological,Storm,2,6459,14,1874899566
2004,United States of America,Meteorological,Storm,2,1313,14,1193407663
2004,United States of America,Meteorological,Storm,2,1938,9,514915599
2004,United States of America,Meteorological,Storm,5,5070000,122,90442598398
2005,United States of America,Climatological,Wildfire,1,1410,5,164852379
2005,United States of America,Hydrological,Flood,1,,,8786632
2005,United States of America,Hydrological,Flood,5,18258,53,1195179748
2005,United States of America,Meteorological,Extreme temperature,1,31,33,
2005,United States of America,Meteorological,Storm,2,,30,576983326
2005,United States of America,Meteorological,Storm,1,104,,576983326
2005,United States of America,Meteorological,Storm,1,201,,
2005,United States of America,Meteorological,Storm,4,830000,1852,2.59692E+11
2006,United States of America,Climatological,Wildfire,2,118,4,79850271
2006,United States of America,Climatological,Wildfire,2,467,13,265102901
2006,United States of America,Geophysical,Earthquake,1,3529,,239550814
2006,United States of America,Hydrological,Flood,11,74060,40,2361172526
2006,United States of America,Meteorological,Extreme temperature,2,,188,
2006,United States of America,Meteorological,Storm,3,,3,1054023583
2006,United States of America,Meteorological,Storm,2,4261,40,3513411943
2006,United States of America,Meteorological,Storm,1,600,1,718652443
2006,United States of America,Meteorological,Storm,2,,21,
2006,United States of America,Meteorological,Storm,3,662,22,2211852519
2006,United States of America,Meteorological,Storm,1,140,6,52477598
2007,United States of America,Climatological,Drought,1,,,465813456
2007,United States of America,Climatological,Wildfire,2,10927,,489104129
2007,United States of America,Climatological,Wildfire,1,640064,8,3881778800
2007,United States of America,Hydrological,Flood,1,120,4,
